circuit,compile_time_s,compile_size_mb,zkey_time_s,zkey_size_mb,export_time_s,export_size_mb,total_time_s,total_size_mb,constraints
VoteProofCombined,4.73,14.354,32.172,11.101,0.82,0.007116,37.722,25.462,18161
TallyValidity,0.846,8.529,24.161,10.831,0.821,0.006742,25.829,19.366,20481
