circuit,compile_time_s,compile_size_mb,zkey_time_s,zkey_size_mb,export_time_s,export_size_mb,total_time_s,total_size_mb,constraints
VoteProofCombined,4.419,9.331,24.209,6.195,0.788,0.007117,29.416,15.533,10433
TallyValidity,0.533,4.281,15.684,5.417,0.794,0.006741,17.011,9.704,10241
