circuit,compile_time_s,compile_size_mb,zkey_time_s,zkey_size_mb,export_time_s,export_size_mb,total_time_s,total_size_mb,constraints
VoteProofCombined,4.244,10.064,27.083,6.769,0.897,0.007116,32.225,16.84,11643
TallyValidity,0.514,4.281,15.087,5.417,0.893,0.006744,16.493,9.704,10241
