circuit,compile_time_s,compile_size_mb,zkey_time_s,zkey_size_mb,export_time_s,export_size_mb,total_time_s,total_size_mb,constraints
VoteProofCombined,6.431,23.893,40.259,18.454,0.82,0.007117,47.51,42.354,32649
TallyValidity,1.747,17.053,40.127,21.659,0.806,0.006744,42.68,38.719,40961
