circuit,compile_time_s,compile_size_mb,zkey_time_s,zkey_size_mb,export_time_s,export_size_mb,total_time_s,total_size_mb,constraints
VoteProofCombined,3.744,9.623,24.724,6.424,0.863,0.007114,29.331,16.055,10917
TallyValidity,0.679,6.404,18.718,7.623,0.801,0.006742,20.197,14.034,15361
