circuit,compile_time_s,compile_size_mb,zkey_time_s,zkey_size_mb,export_time_s,export_size_mb,total_time_s,total_size_mb,constraints
VoteProofCombined,3.991,10.211,27.243,6.883,0.828,0.007115,32.062,17.101,11885
TallyValidity,0.519,4.281,15.142,5.417,0.844,0.006742,16.505,9.704,10241
