circuit,compile_time_s,compile_size_mb,zkey_time_s,zkey_size_mb,export_time_s,export_size_mb,total_time_s,total_size_mb,constraints
VoteProofCombined,4.199,10.211,27.71,6.883,0.843,0.007113,32.752,17.101,11885
TallyValidity,0.521,4.281,15.112,5.417,0.902,0.006743,16.535,9.704,10241
