circuit,compile_time_s,compile_size_mb,zkey_time_s,zkey_size_mb,export_time_s,export_size_mb,total_time_s,total_size_mb,constraints
VoteProofCombined,4.229,9.331,24.906,6.195,0.874,0.007117,30.009,15.533,10433
TallyValidity,0.603,4.281,15.786,5.417,0.816,0.006742,17.205,9.704,10241
