circuit,compile_time_s,compile_size_mb,zkey_time_s,zkey_size_mb,export_time_s,export_size_mb,total_time_s,total_size_mb,constraints
VoteProofCombined,3.832,10.064,27.11,6.769,0.819,0.007116,31.76,16.84,11643
TallyValidity,0.525,4.281,15.324,5.417,0.825,0.006743,16.675,9.704,10241
