circuit,compile_time_s,compile_size_mb,zkey_time_s,zkey_size_mb,export_time_s,export_size_mb,total_time_s,total_size_mb,constraints
VoteProofCombined,3.775,9.623,24.892,6.424,0.8,0.007113,29.467,16.055,10917
TallyValidity,0.477,4.281,14.798,5.417,0.837,0.006743,16.112,9.704,10241
