circuit,compile_time_s,compile_size_mb,zkey_time_s,zkey_size_mb,export_time_s,export_size_mb,total_time_s,total_size_mb,constraints
VoteProofCombined,3.648,9.623,25.022,6.424,0.782,0.007114,29.452,16.055,10917
TallyValidity,0.858,8.527,24.922,10.83,0.777,0.006743,26.557,19.364,20481
