circuit,compile_time_s,compile_size_mb,zkey_time_s,zkey_size_mb,export_time_s,export_size_mb,total_time_s,total_size_mb,constraints
VoteProofCombined,4.747,14.354,32.8,11.101,0.803,0.007113,38.35,25.462,18161
TallyValidity,0.838,8.529,24.64,10.831,0.818,0.006743,26.296,19.366,20481
