nBallots,qCandidates,sSelections,totalCipherBytes,totalCipherKB,totalCipherMB,avgCipherBytes,avgCipherKB,minCipherBytes,maxCipherBytes,totalEncryptTimeMs,avgEncryptTimeMs
1000,6,1,1940790,1895.3027,1.8509,1940.79,1.8953,1928,1948,191131.07,191.1311
10000,6,1,19408074,18953.1973,18.5090,1940.81,1.8953,1927,1951,1938942.71,193.8943
20000,6,1,38815988,37906.2383,37.0178,1940.80,1.8953,1928,1951,3813680.61,190.6840
40000,6,1,77632349,75812.8408,74.0360,1940.81,1.8953,1929,1951,7538726.21,188.4682
60000,6,1,116448861,113719.5908,111.0543,1940.81,1.8953,1928,1952,11397717.85,189.9620
80000,6,1,155266788,151627.7227,148.0739,1940.83,1.8953,1926,1951,14176282.99,177.2035
100000,6,1,194082190,189533.3887,185.0912,1940.82,1.8953,1926,1952,17716760.87,177.1676
