nBallots,qCandidates,sSelections,totalCipherBytes,totalCipherKB,totalCipherMB,avgCipherBytes,avgCipherKB,minCipherBytes,maxCipherBytes,totalEncryptTimeMs,avgEncryptTimeMs
1000,4,1,1304699,1274.1201,1.2443,1304.70,1.2741,1295,1311,437388.65,437.3886
10000,4,1,13048699,12742.8701,12.4442,1304.87,1.2743,1295,1312,4248566.82,424.8567
20000,4,1,26097612,25485.9492,24.8886,1304.88,1.2743,1293,1313,9579489.59,478.9745
40000,4,1,52195621,50972.2861,49.7776,1304.89,1.2743,1294,1313,18612852.35,465.3213
60000,4,1,78293177,76458.1807,74.6662,1304.89,1.2743,1294,1313,25400000.32,423.3333
80000,4,1,104390740,101944.0820,99.5548,1304.88,1.2743,1291,1313,34035361.56,425.4420
100000,4,1,130487758,127429.4512,124.4428,1304.88,1.2743,1290,1313,47011038.28,470.1104
