nBallots,qCandidates,sSelections,totalCipherBytes,totalCipherKB,totalCipherMB,avgCipherBytes,avgCipherKB,minCipherBytes,maxCipherBytes,totalEncryptTimeMs,avgEncryptTimeMs
1000,2,1,668900,653.2227,0.6379,668.90,0.6532,662,673,281401.17,281.4012
10000,2,1,6689486,6532.7012,6.3796,668.95,0.6533,662,673,2728091.43,272.8091
20000,2,1,13379192,13065.6172,12.7594,668.96,0.6533,661,673,5348617.16,267.4309
40000,2,1,26758117,26130.9736,25.5185,668.95,0.6533,661,673,10662231.28,266.5558
60000,2,1,40136361,39195.6650,38.2770,668.94,0.6533,659,673,16180989.99,269.6832
80000,2,1,53515550,52261.2793,51.0364,668.94,0.6533,659,673,21497504.24,268.7188
100000,2,1,66893972,65326.1445,63.7951,668.94,0.6533,659,673,27551980.47,275.5198
