nBallots,qCandidates,sSelections,totalCipherBytes,totalCipherKB,totalCipherMB,avgCipherBytes,avgCipherKB,minCipherBytes,maxCipherBytes,totalEncryptTimeMs,avgEncryptTimeMs
1000,10,1,3212873,3137.5713,3.0640,3212.87,3.1376,3197,3224,292943.24,292.9432
10000,10,1,32126255,31373.2959,30.6380,3212.63,3.1373,3197,3225,2932287.06,293.2287
20000,10,1,64253918,62747.9668,61.2773,3212.70,3.1374,3198,3228,5987403.28,299.3702
40000,10,1,128506910,125495.0293,122.5537,3212.67,3.1374,3193,3228,12284593.18,307.1148
60000,10,1,192761972,188244.1133,183.8321,3212.70,3.1374,3195,3228,18344421.10,305.7404
80000,10,1,257015624,250991.8203,245.1092,3212.70,3.1374,3194,3227,24594598.03,307.4325
100000,10,1,321267493,313737.7861,306.3846,3212.67,3.1374,3194,3228,30696261.15,306.9626
